Título,Notas,Quantidade de Notas,Ano
1. Um Sonho de Liberdade,"9,3", (3 mi),1994
2. O Poderoso Chefão,"9,2"," (2,1 mi)",1972
3. Batman: O Cavaleiro das Trevas,"9,0", (3 mi),2008
4. O Poderoso Chefão: Parte II,"9,0"," (1,4 mi)",1974
5. 12 Homens e uma Sentença,"9,0", (927 mil),1957
6. O Senhor dos Anéis: O Retorno do Rei,"9,0"," (2,1 mi)",2003
7. A Lista de Schindler,"9,0"," (1,5 mi)",1993
8. Pulp Fiction: Tempo de Violência,"8,9"," (2,3 mi)",1994
9. O Senhor dos Anéis: A Sociedade do Anel,"8,9"," (2,1 mi)",2001
10. Três Homens em Conflito,"8,8", (855 mil),1966
11. Forrest Gump: O Contador de Histórias,"8,8"," (2,4 mi)",1994
12. O Senhor dos Anéis: As Duas Torres,"8,8"," (1,9 mi)",2002
13. Clube da Luta,"8,8"," (2,5 mi)",1999
14. A Origem,"8,8"," (2,7 mi)",2010
15. Star Wars: Episódio V - O Império Contra-Ataca,"8,7"," (1,4 mi)",1980
16. Matrix,"8,7"," (2,2 mi)",1999
17. Os Bons Companheiros,"8,7"," (1,3 mi)",1990
18. Interestelar,"8,7"," (2,3 mi)",2014
19. Um Estranho no Ninho,"8,7"," (1,1 mi)",1975
20. Seven - Os Sete Crimes Capitais,"8,6"," (1,9 mi)",1995
21. A Felicidade Não se Compra,"8,6", (528 mil),1946
22. O Silêncio dos Inocentes,"8,6"," (1,6 mi)",1991
23. Os Sete Samurais,"8,6", (385 mil),1954
24. O Resgate do Soldado Ryan,"8,6"," (1,6 mi)",1998
25. Cidade de Deus,"8,6", (838 mil),2002
26. À Espera de um Milagre,"8,6"," (1,5 mi)",1999
27. A Vida é Bela,"8,6", (779 mil),1997
28. O Exterminador do Futuro 2: O Julgamento Final,"8,6"," (1,2 mi)",1991
29. Star Wars: Episódio IV - Uma Nova Esperança,"8,6"," (1,5 mi)",1977
30. De Volta para o Futuro,"8,5"," (1,4 mi)",1985
