Título,Notas,Quantidade de Notas,Ano
Um Sonho de Liberdade,9.3,3000000,1994
O Poderoso Chefão,9.2,2100000,1972
Batman: O Cavaleiro das Trevas,9.0,3000000,2008
O Poderoso Chefão: Parte II,9.0,1400000,1974
12 Homens e uma Sentença,9.0,927000000,1957
O Senhor dos Anéis: O Retorno do Rei,9.0,2100000,2003
A Lista de Schindler,9.0,1500000,1993
Pulp Fiction: Tempo de Violência,8.9,2300000,1994
O Senhor dos Anéis: A Sociedade do Anel,8.9,2100000,2001
Três Homens em Conflito,8.8,855000000,1966
Forrest Gump: O Contador de Histórias,8.8,2400000,1994
O Senhor dos Anéis: As Duas Torres,8.8,1900000,2002
Clube da Luta,8.8,2500000,1999
A Origem,8.8,2700000,2010
Star Wars: Episódio V - O Império Contra-Ataca,8.7,1400000,1980
Matrix,8.7,2200000,1999
Os Bons Companheiros,8.7,1300000,1990
Interestelar,8.7,2300000,2010
Um Estranho no Ninho,8.7,1100000,1975
Seven - Os Sete Crimes Capitais,8.6,1900000,1995
A Felicidade Não se Compra,8.6,528000000,1946
O Silêncio dos Inocentes,8.6,1600000,1991
Os Sete Samurais,8.6,385000000,1954
O Resgate do Soldado Ryan,8.6,1600000,1998
Cidade de Deus,8.6,838000000,2002
À Espera de um Milagre,8.6,1500000,1999
A Vida é Bela,8.6,779000000,1997
O Exterminador do Futuro 2: O Julgamento Final,8.6,1200000,1991
Star Wars: Episódio IV - Uma Nova Esperança,8.6,1500000,1977
De Volta para o Futuro,8.5,1400000,1985
